Code,Title
education,Освіта
health,Охорона здоров'я
energy,Енергетика
communications,Комунікації
waterAndWaste,Водовідведення і тверді побутові відходи
governance,Урядування
economy,Економіка
cultureSportsAndRecreation,"Культура, спорт і рекреація"
transport,Транспорт
transport.air,Повітряний транспорт
transport.water,Водний транспорт
transport.rail,Залізниця
transport.road,Автомобільні шляхи
transport.urban,Міський транспорт
socialHousing,Соціальне житло
